id;wh_name;address;pincode;city;state;country;g_st_details;manager_name;manager_email;manager_contact;contact;is_deleted;is_active;ware_house_id;last_modified;last_modified_by
1;Buckinghamshire back-end Som;moratorium Vatu;90093;Klockofurt;synergistic TCP Tunisia;Cambodia;Mandatory streamline;Concrete Manager Fish;wireless optical;Fresh;orchestrate Cambridgeshire;true;true;39053;2022-03-08T09:16:31;bluetooth bus
2;Cyprus Intranet Cambridgeshire;Director incubate;65986;East Thurman;Agent;Gibraltar;Steel;Dynamic;integrated Refined Algerian;deploy;Creek Upgradable maximize;false;true;72021;2022-03-08T00:09:01;system Causeway indexing
3;neural;programming Avon systemic;5081;Franeckimouth;Radial schemas Supervisor;Trinidad and Tobago;Tactics Rubber;Coordinator;Grocery;Road;transmitting;false;false;73853;2022-03-08T07:54:48;Response toolset
4;definition Fish Buckinghamshire;hacking Jewelery;3267;Petaluma;Wooden non-volatile Convertible;Belarus;Bacon Rest;override feed calculate;Refined;hacking Pound;Architect enhance;true;true;99019;2022-03-08T00:33:38;Rubber Via
5;Borders Human Rubber;Marshall methodologies mission-critical;77210;Bernierbury;interactive deposit;Seychelles;SQL;Plastic connecting Sterling;SAS RAM Steel;withdrawal Louisiana;Implementation Cheese Administrator;false;false;35771;2022-03-07T11:28:05;full-range Centers payment
6;pink;bypass withdrawal Baby;65961;South Cecile;visualize Engineer;Mayotte;deposit open-source;visualize hack ADP;Mills black Mozambique;Nepalese program Intelligent;Functionality Synergistic Armenia;true;true;85253;2022-03-07T21:57:09;connecting Djibouti
7;global Zimbabwe Small;Shoes Gloves Practical;22523;East Golda;Central Granite;Saint Helena;Rubber Benin;olive;Concrete salmon;Upgradable;Wyoming Loan;false;false;27751;2022-03-07T17:19:54;Outdoors
8;Pass Lead;Sandwich adapter Michigan;75376;Centennial;Fresh Ergonomic;Papua New Guinea;Refined;Checking;pink orange;Drive indigo;Som Chips capacitor;false;false;77518;2022-03-08T04:23:27;system SMTP Pants
9;Assurance;indexing RSS;55638;Port Anya;Optimized California Table;Morocco;SSL Shirt protocol;Investor 24/365 leading-edge;Re-contextualized;microchip;orchid up International;false;false;31076;2022-03-08T07:03:37;Accountability Caicos
10;orange Future;auxiliary Liaison Bike;95161;East Bria;Armenia Intelligent utilize;Jamaica;Product;invoice;vortals up XSS;Regional indigo;Grocery pink Customer;false;false;38043;2022-03-07T22:59:38;Avon Fantastic
