id;unit_name;short_name;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;Automotive;complexity Berkshire Fish;lavender Fantastic Salad;2022-03-07T19:43:37;override;false;true
2;Sol;Web;Investment web-enabled;2022-03-08T00:10:37;deg New;true;false
3;optical Account cyan;Chips;Lakes one-to-one Generic;2022-03-07T13:41:30;bypassing robust card;true;true
4;Coordinator Knolls;users;Dynamic Dynamic applications;2022-03-08T07:41:57;payment;true;true
5;withdrawal Sleek hacking;Court Trail;maroon analyzer Valley;2022-03-08T02:13:21;Orchestrator;false;false
6;Solutions Chicken;parsing;Refined;2022-03-07T20:22:27;Engineer USB Games;false;true
7;syndicate;24/7 input;Minnesota;2022-03-08T05:04:04;Configuration Iowa;false;true
8;paradigm;Turnpike;compress Small architecture;2022-03-08T02:44:21;Investment violet;false;true
9;synthesize;invoice Rubber Pizza;Peso dot-com generating;2022-03-07T15:29:33;Electronics Savings Licensed;true;false
10;strategy;Home seize Intuitive;Executive connect user;2022-03-07T11:55:36;Dynamic Avon;false;false
