id;short_name;chemical_formula;hsn_no;material_image;material_image_content_type;is_deleted;is_active;product_name;alert_units;cas_number;catlog_number;molecular_wt;molecular_formula;chemical_name;structure_img;description;qr_code;bar_code;gst_percentage;product_type;last_modified;last_modified_by;free_field_1;free_field_2
1;Steel;Assistant;cross-platform Principal;../fake-data/blob/hipster.png;image/png;false;false;Chilean reboot Dynamic;Track actuating deposit;Soap withdrawal;Metical Incredible;54662;Internal intermediate;Bedfordshire;Malagasy intranet;neutral;Bike;Computer CFP orange;9548;PRODUCT;2022-03-07T11:38:34;Identity Dynamic Sports;Mexico yellow Cape;Ethiopia
2;Crossroad CSS;De-engineered;Central Intelligent;../fake-data/blob/hipster.png;image/png;true;true;Cheese Renminbi;Consultant online;project hacking efficient;mobile metrics;95618;Data;sticky Harbors Automotive;Checking system-worthy;Steel;full-range;back-end National Operations;6909;RAWMATERIAL;2022-03-08T06:35:35;Balboa Mobility Arkansas;Account;Global Industrial Concrete
3;Pants bypassing Chief;Tuvalu;Square Checking Coordinator;../fake-data/blob/hipster.png;image/png;false;true;Tuna;system Practical;executive;Assistant Berkshire program;64262;index Account Concrete;Soft;deposit clear-thinking focus;Loan;Small Congo Engineer;Account portals Berkshire;36836;RAWMATERIAL;2022-03-08T06:07:27;Concrete Account Account;Functionality Small adapter;Gloves
4;hack back-end application;USB Future;Venezuela JBOD;../fake-data/blob/hipster.png;image/png;false;false;time-frame;redefine;Nebraska Producer;Regional;85561;Account Bacon Guinea-Bissau;CSS Serbia Massachusetts;Cordoba;Functionality multi-tasking;primary Plastic;Infrastructure Buckinghamshire Avon;56407;BOTH;2022-03-08T03:02:07;Kids Rubber;blue Summit;Concrete
5;parsing Producer;reinvent open-source Integrated;XML;../fake-data/blob/hipster.png;image/png;false;true;systems payment Home;Shirt indigo Paraguay;payment;back-end Liechtenstein U.S.;83251;front-end Russian;AI Senegal Stand-alone;Grocery US users;quantifying;generation regional;Gloves radical;16726;BOTH;2022-03-07T19:05:18;Automotive PCI Account;San Arkansas throughput;algorithm
6;Unbranded Steel;Planner Arabia;Wooden regional;../fake-data/blob/hipster.png;image/png;true;true;visualize envisioneer;Borders next incentivize;Madagascar Group HTTP;RSS optical;61049;TCP Clothing;SMTP Seamless Checking;eyeballs Games;framework Cook International;bleeding-edge Chief;generate facilitate port;89748;PRODUCT;2022-03-08T07:56:33;Sports;Ball;state Louisiana
7;yellow;well-modulated;system;../fake-data/blob/hipster.png;image/png;true;false;Berkshire payment Cotton;solution Planner;Optimized UIC-Franc;THX virtual;81722;Qatar transmit;e-commerce online Bike;Jewelery Automotive override;Awesome Intelligent multi-byte;transition;hub primary;93799;OTHER;2022-03-07T20:29:16;PCI concept pixel;bluetooth Lodge;Incredible Lake Home
8;invoice;Barbuda;Tuna;../fake-data/blob/hipster.png;image/png;false;true;customized GB;scalable Kentucky Spur;Mobility Cross-platform infrastructures;bi-directional Mexico;85148;Berkshire synthesizing Parks;Islands;virtual;Checking expedite;hack optical Washington;invoice maroon;99999;RAWMATERIAL;2022-03-08T04:08:17;Square framework;Inlet Paradigm neural-net;Springs
9;Borders indexing AGP;British;metrics Inlet Chips;../fake-data/blob/hipster.png;image/png;false;true;Nebraska holistic;Garden synthesize;Optimization;Accounts Account;19005;real-time quantifying;Enhanced;Baby innovate;Steel;lavender;initiative Corporate;65835;PRODUCT;2022-03-07T16:48:44;reintermediate service-desk;Movies Sum Shoes;payment Taka hardware
10;AGP Licensed;Louisiana;Granite Music scalable;../fake-data/blob/hipster.png;image/png;false;false;deposit Credit;Paradigm;Vision-oriented Cambridgeshire;Tunisia Berkshire gold;18719;Berkshire Skyway Multi-layered;deposit application reciprocal;Stravenue purple Ergonomic;Applications;multi-tasking;bluetooth;59179;BOTH;2022-03-07T12:33:40;Clothing Synergistic Industrial;Home;payment Account
