id;massage;notification_type;is_action_required;last_modified;last_modified_by
1;Rustic Throughway;APPROVAL;true;2022-03-07T18:01:38;port
2;Switzerland Granite transmitting;TRANSFER;false;2022-03-08T03:35:26;Executive
3;reboot payment;ALERT;true;2022-03-07T20:19:07;District synthesizing
4;partnerships Virtual Strategist;REQUEST;false;2022-03-07T16:21:16;Intelligent
5;alarm compressing;TRANSFER;false;2022-03-07T15:24:29;payment Health parallelism
6;Health technologies;REQUEST;false;2022-03-08T02:15:53;Washington generation generate
7;Bacon Chair workforce;REQUEST;true;2022-03-08T01:38:54;wireless mobile Skyway
8;withdrawal Myanmar architectures;ALERT;false;2022-03-07T17:44:37;infrastructures
9;Cambridgeshire Account Borders;ALERT;false;2022-03-08T03:00:30;Forward circuit Home
10;program Mexican;REQUEST;false;2022-03-08T11:09:28;navigate override
