id;approval_date;qty_requested;qty_approved;comment;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-08T04:09:52;86605;31385;parsing Account cross-media;Gambia systemic Cyprus;2022-03-07T16:00:45;View Industrial;true;true
2;2022-03-08T05:47:53;73418;53655;analyzer backing;SAS HTTP context-sensitive;2022-03-08T01:37:07;Glen back-end Planner;true;false
3;2022-03-08T04:41:31;31960;47318;Implemented;leverage Dakota;2022-03-07T10:53:31;back-end;true;true
4;2022-03-08T03:23:04;68724;34831;Accounts;web Republic;2022-03-08T07:59:34;Plastic;true;true
5;2022-03-08T06:24:28;33218;75425;synthesizing Account;Frozen;2022-03-07T11:21:54;digital navigate methodical;true;true
6;2022-03-07T16:35:38;19444;57426;payment;circuit Investor Barthelemy;2022-03-07T22:03:13;Tasty;false;true
7;2022-03-07T23:27:07;1682;43724;overriding;Loan Jordanian Republic;2022-03-08T06:38:24;New;true;false
8;2022-03-07T16:58:50;31965;61801;5th Multi-layered;Electronics program Small;2022-03-07T21:21:33;Cambridgeshire Greece;false;false
9;2022-03-07T22:30:00;95647;62807;hacking indigo Towels;blockchains Avon;2022-03-07T21:03:07;engage;false;false
10;2022-03-08T08:59:16;42301;24218;alarm panel Incredible;Bedfordshire Plastic Towels;2022-03-07T18:34:05;Rubber compressing Sausages;false;false
