id;category_name;category_description;free_field_1;last_modified;last_modified_by;is_deleted;is_active
1;Rubber;1080p Handmade;groupware Nigeria Optimized;2022-03-07T22:30:48;Rubber;false;true
2;Direct Kansas;Mexico Wooden;payment;2022-03-07T14:01:08;Berkshire Cheese connect;false;false
3;Specialist Account bandwidth;Metal Auto override;mint Licensed auxiliary;2022-03-08T06:26:49;Benin;true;false
4;Square;Gibraltar indigo parsing;Tasty feed;2022-03-08T00:08:27;Granite Oregon 24/7;true;false
5;Peso;discrete;New indexing;2022-03-07T10:19:53;Kansas;true;false
6;Plaza;Bedfordshire Graphical;Berkshire;2022-03-08T00:15:19;Island;false;true
7;FTP;Strategist;Human;2022-03-08T04:17:58;red connecting;false;true
8;didactic;Incredible purple;Investment payment;2022-03-08T07:30:10;Concrete;true;true
9;Grocery;digital array Refined;sexy background override;2022-03-07T21:24:43;systemic feed Movies;false;false
10;Illinois Home;Principal overriding communities;Card Licensed;2022-03-08T02:08:57;green;false;true
